mut_1,mut_2,mut_3,count,gene_name_1,gene_name_2,gene_name_3,amenable_1,amenable_2,amenable_3,all_amenable,mouse_variant_1,mouse_variant_2,mouse_variant_3,all_mouse
AACR-H0000316-M01,AACR-H0000258-M01,AACR-H0000118-M01,95,SF3B1,CUX1,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000393-M01,AACR-H0000226-M01,95,PDGFRA,JAK2,ZRSR2,True,False,False,False,True,,True,False
AACR-H0000124-M01,AACR-H0000614-M01,AACR-H0000132-M01,95,CBLB,GATA2,RUNX1,False,True,False,False,,True,,False
AACR-H0000145-M01,AACR-H0000118-M01,AACR-H0000537-M01,95,GATA2,SRSF2,SETBP1,True,True,False,False,True,True,,False
AACR-H0000316-M01,AACR-H0000251-M01,AACR-H0000133-M01,95,SF3B1,CUX1,CUX1,True,True,True,True,True,True,True,True
AACR-H0000393-M01,AACR-H0000118-M01,AACR-H0000226-M01,95,JAK2,SRSF2,ZRSR2,False,True,False,False,,True,True,False
AACR-H0000147-M01,AACR-H0000359-M01,AACR-H0000198-M01,95,NRAS,IDH2,RUNX1,True,True,False,False,True,True,,False
AACR-H0000316-M01,AACR-H0000238-M01,AACR-H0000118-M01,95,SF3B1,NPM1,SRSF2,True,False,True,False,True,,True,False
AACR-H0000258-M01,AACR-H0000250-M01,AACR-H0000203-M01,95,CUX1,PTEN,SETBP1,True,False,False,False,True,,,False
AACR-H0000579-M01,AACR-H0000168-M01,AACR-H0000118-M01,95,PDGFRA,NOTCH1,SRSF2,False,True,True,False,,True,True,False
AACR-H0000368-M01,AACR-H0000215-M01,AACR-H0000178-M01,95,KIT,NOTCH1,NOTCH1,True,False,False,False,True,True,,False
AACR-H0000354-M01,AACR-H0000168-M01,AACR-H0000203-M01,95,RAD21,NOTCH1,SETBP1,True,True,False,False,True,True,,False
AACR-H0000128-M01,AACR-H0000614-M01,AACR-H0000137-M01,95,CBLB,GATA2,SRSF2,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000123-M01,AACR-H0000640-M01,95,CBLB,SMC3,WT1,False,True,False,False,,True,,False
AACR-H0000122-M01,AACR-H0000600-M01,AACR-H0000142-M01,95,PDGFRA,NPM1,CUX1,True,True,False,False,True,True,,False
AACR-H0000316-M01,AACR-H0000258-M01,AACR-H0000136-M01,95,SF3B1,CUX1,FLT3,True,True,True,True,True,True,True,True
AACR-H0000185-M01,AACR-H0000316-M01,AACR-H0000203-M01,95,CSF3R,SF3B1,SETBP1,True,True,False,False,True,True,,False
AACR-H0000316-M01,AACR-H0000258-M01,AACR-H0000133-M01,95,SF3B1,CUX1,CUX1,True,True,True,True,True,True,True,True
AACR-H0000614-M01,AACR-H0000123-M01,AACR-H0000132-M01,95,GATA2,SMC3,RUNX1,True,True,False,False,True,True,,False
AACR-H0000600-M01,AACR-H0000133-M01,AACR-H0000142-M01,95,NPM1,CUX1,CUX1,True,True,False,False,True,True,,False
AACR-H0000158-M01,AACR-H0000359-M01,AACR-H0000198-M01,95,NOTCH1,IDH2,RUNX1,True,True,False,False,True,True,,False
AACR-H0000128-M01,AACR-H0000393-M01,AACR-H0000226-M01,95,CBLB,JAK2,ZRSR2,False,False,False,False,,,True,False
AACR-H0000124-M01,AACR-H0000158-M01,AACR-H0000537-M01,95,CBLB,NOTCH1,SETBP1,False,True,False,False,,True,,False
AACR-H0000133-M01,AACR-H0000573-M01,AACR-H0000132-M01,95,CUX1,KRAS,RUNX1,True,False,False,False,True,,,False
AACR-H0000393-M01,AACR-H0000136-M01,AACR-H0000203-M01,95,JAK2,FLT3,SETBP1,False,True,False,False,,True,,False
AACR-H0000342-M01,AACR-H0000158-M01,AACR-H0000203-M01,95,CSF3R,NOTCH1,SETBP1,False,True,False,False,,True,,False
AACR-H0000122-M01,AACR-H0000579-M01,AACR-H0000136-M01,95,PDGFRA,PDGFRA,FLT3,True,False,True,False,True,,True,False
AACR-H0000133-M01,AACR-H0000393-M01,AACR-H0000226-M01,95,CUX1,JAK2,ZRSR2,True,False,False,False,True,,True,False
AACR-H0000185-M01,AACR-H0000325-M01,AACR-H0000203-M01,95,CSF3R,CBL,SETBP1,True,False,False,False,True,,,False
AACR-H0000122-M01,AACR-H0000158-M01,AACR-H0000537-M01,95,PDGFRA,NOTCH1,SETBP1,True,True,False,False,True,True,,False
AACR-H0000579-M01,AACR-H0000166-M01,AACR-H0000118-M01,95,PDGFRA,NOTCH1,SRSF2,False,True,True,False,,True,True,False
AACR-H0000316-M01,AACR-H0000251-M01,AACR-H0000123-M01,95,SF3B1,CUX1,SMC3,True,True,True,True,True,True,True,True
AACR-H0000316-M01,AACR-H0000251-M01,AACR-H0000118-M01,95,SF3B1,CUX1,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000137-M01,AACR-H0000537-M01,95,NRAS,SRSF2,SETBP1,True,True,False,False,True,True,,False
AACR-H0000238-M01,AACR-H0000251-M01,AACR-H0000198-M01,95,NPM1,CUX1,RUNX1,False,True,False,False,,True,,False
AACR-H0000368-M01,AACR-H0000158-M01,AACR-H0000226-M01,95,KIT,NOTCH1,ZRSR2,True,True,False,False,True,True,True,True
AACR-H0000368-M01,AACR-H0000158-M01,AACR-H0000215-M01,95,KIT,NOTCH1,NOTCH1,True,True,False,False,True,True,True,True
AACR-H0000316-M01,AACR-H0000238-M01,AACR-H0000136-M01,95,SF3B1,NPM1,FLT3,True,False,True,False,True,,True,False
AACR-H0000316-M01,AACR-H0000122-M01,AACR-H0000258-M01,95,SF3B1,PDGFRA,CUX1,True,True,True,True,True,True,True,True
AACR-H0000238-M01,AACR-H0000336-M01,AACR-H0000273-M01,94,NPM1,JAK3,JAK3,False,True,False,False,,True,,False
AACR-H0000345-M01,AACR-H0000238-M01,AACR-H0000118-M01,94,PDGFRA,NPM1,SRSF2,False,False,True,False,,,True,False
AACR-H0000345-M01,AACR-H0000238-M01,AACR-H0000123-M01,94,PDGFRA,NPM1,SMC3,False,False,True,False,,,True,False
AACR-H0000124-M01,AACR-H0000643-M01,AACR-H0000118-M01,94,CBLB,WT1,SRSF2,False,True,True,False,,True,True,False
AACR-H0000614-M01,AACR-H0000145-M01,AACR-H0000122-M01,94,GATA2,GATA2,PDGFRA,True,True,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000345-M01,AACR-H0000238-M01,94,CBLB,PDGFRA,NPM1,False,False,False,False,,,,False
AACR-H0000342-M01,AACR-H0000158-M01,AACR-H0000198-M01,94,CSF3R,NOTCH1,RUNX1,False,True,False,False,,True,,False
AACR-H0000128-M01,AACR-H0000614-M01,AACR-H0000136-M01,94,CBLB,GATA2,FLT3,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000640-M01,AACR-H0000643-M01,94,CBLB,WT1,WT1,False,False,True,False,,,True,False
AACR-H0000393-M01,AACR-H0000180-M01,AACR-H0000178-M01,94,JAK2,NOTCH1,NOTCH1,False,False,False,False,,,,False
AACR-H0000345-M01,AACR-H0000215-M01,AACR-H0000123-M01,94,PDGFRA,NOTCH1,SMC3,False,False,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000640-M01,AACR-H0000118-M01,94,CBLB,WT1,SRSF2,False,False,True,False,,,True,False
AACR-H0000342-M01,AACR-H0000215-M01,AACR-H0000168-M01,94,CSF3R,NOTCH1,NOTCH1,False,False,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000145-M01,AACR-H0000579-M01,94,CBLB,GATA2,PDGFRA,False,True,False,False,,True,,False
AACR-H0000316-M01,AACR-H0000128-M01,AACR-H0000238-M01,94,SF3B1,CBLB,NPM1,True,False,False,False,True,,,False
AACR-H0000172-M01,AACR-H0000368-M01,AACR-H0000180-M01,94,CBLB,KIT,NOTCH1,True,True,False,False,True,True,,False
AACR-H0000145-M01,AACR-H0000339-M01,AACR-H0000198-M01,94,GATA2,JAK3,RUNX1,True,True,False,False,True,True,,False
AACR-H0000158-M01,AACR-H0000537-M01,AACR-H0000132-M01,94,NOTCH1,SETBP1,RUNX1,True,False,False,False,True,,,False
AACR-H0000614-M01,AACR-H0000145-M01,AACR-H0000118-M01,94,GATA2,GATA2,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000133-M01,AACR-H0000142-M01,AACR-H0000537-M01,94,CUX1,CUX1,SETBP1,True,False,False,False,True,,,False
AACR-H0000124-M01,AACR-H0000586-M01,AACR-H0000142-M01,94,CBLB,GATA2,CUX1,False,True,False,False,,True,,False
AACR-H0000128-M01,AACR-H0000122-M01,AACR-H0000640-M01,94,CBLB,PDGFRA,WT1,False,True,False,False,,True,,False
AACR-H0000586-M01,AACR-H0000133-M01,AACR-H0000137-M01,94,GATA2,CUX1,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000579-M01,AACR-H0000142-M01,AACR-H0000118-M01,94,PDGFRA,CUX1,SRSF2,False,False,True,False,,,True,False
AACR-H0000614-M01,AACR-H0000142-M01,AACR-H0000118-M01,94,GATA2,CUX1,SRSF2,True,False,True,False,True,,True,False
AACR-H0000128-M01,AACR-H0000579-M01,AACR-H0000137-M01,94,CBLB,PDGFRA,SRSF2,False,False,True,False,,,True,False
AACR-H0000128-M01,AACR-H0000579-M01,AACR-H0000136-M01,94,CBLB,PDGFRA,FLT3,False,False,True,False,,,True,False
AACR-H0000316-M01,AACR-H0000166-M01,AACR-H0000226-M01,94,SF3B1,NOTCH1,ZRSR2,True,True,False,False,True,True,True,True
AACR-H0000124-M01,AACR-H0000123-M01,AACR-H0000643-M01,94,CBLB,SMC3,WT1,False,True,True,False,,True,True,False
